GOPTIQ_fullCoRE Edges: 64, Vertices: 71,            Beta index:  0.90
NAVFUM_fullCoRE Edges: 77, Vertices: 75,            Beta index:  1.03
WOHQAN_fullCoRE Edges: 0, Vertices: 3,            Beta index:  0.00
NATXUC_fullCoRE Edges: 6, Vertices: 32,            Beta index:  0.19
CEDFIC_fullCoRE Edges: 0, Vertices: 5,            Beta index:  0.00
FUTTIZ_fullCoRE Edges: 77, Vertices: 53,            Beta index:  1.45
CUKXIR_fullCoRE Edges: 2, Vertices: 64,            Beta index:  0.03
TAGSEB_fullCoRE Edges: 0, Vertices: 46,            Beta index:  0.00
TOPKIT_fullCoRE Edges: 29, Vertices: 68,            Beta index:  0.43
LAVTOT_fullCoRE Edges: 146, Vertices: 74,            Beta index:  1.97
GOSBOH_fullCoRE Edges: 114, Vertices: 72,            Beta index:  1.58
TILHAZ_fullCoRE Edges: 92, Vertices: 72,            Beta index:  1.28
BEFMUW_fullCoRE Edges: 134, Vertices: 84,            Beta index:  1.60
KICXEB_fullCoRE Edges: 0, Vertices: 5,            Beta index:  0.00
GOJDOZ_fullCoRE Edges: 0, Vertices: 3,            Beta index:  0.00
TIRHIL_fullCoRE Edges: 164, Vertices: 84,            Beta index:  1.95
UVEVAT_fullCoRE Edges: 129, Vertices: 94,            Beta index:  1.37
TEQWER01_fullCoRE Edges: 57, Vertices: 79,            Beta index:  0.72
JUMCUR_fullCoRE Edges: 42, Vertices: 69,            Beta index:  0.61
PEGPUO_fullCoRE Edges: 1, Vertices: 11,            Beta index:  0.09
GEDQIR_fullCoRE Edges: 0, Vertices: 11,            Beta index:  0.00
JOVYAW_fullCoRE Edges: 6, Vertices: 43,            Beta index:  0.14
ASAJOU_fullCoRE Edges: 24, Vertices: 48,            Beta index:  0.50
OCIMEV_fullCoRE Edges: 5, Vertices: 35,            Beta index:  0.14
MIFQOJ_fullCoRE Edges: 37, Vertices: 58,            Beta index:  0.64
HIYMAF_fullCoRE Edges: 0, Vertices: 19,            Beta index:  0.00
VIYMAT_fullCoRE Edges: 0, Vertices: 7,            Beta index:  0.00
VIQQUJ_fullCoRE Edges: 34, Vertices: 84,            Beta index:  0.40
YARGOP_fullCoRE Edges: 50, Vertices: 68,            Beta index:  0.74
SOKKUZ_fullCoRE Edges: 227, Vertices: 98,            Beta index:  2.32
JOKWOV_fullCoRE Edges: 173, Vertices: 79,            Beta index:  2.19
CERMIV_fullCoRE Edges: 4, Vertices: 27,            Beta index:  0.15
PEWGEF_fullCoRE Edges: 17, Vertices: 42,            Beta index:  0.40
TOFQEM_fullCoRE Edges: 0, Vertices: 4,            Beta index:  0.00
LAVTEJ_fullCoRE Edges: 0, Vertices: 14,            Beta index:  0.00
JILWIL_fullCoRE Edges: 247, Vertices: 87,            Beta index:  2.84
XIHXET_fullCoRE Edges: 9, Vertices: 29,            Beta index:  0.31
ZIKJOU_fullCoRE Edges: 60, Vertices: 64,            Beta index:  0.94
ADAVEI_fullCoRE Edges: 315, Vertices: 95,            Beta index:  3.32
XISKUF_fullCoRE Edges: 37, Vertices: 49,            Beta index:  0.76
KUDLUR_fullCoRE Edges: 17, Vertices: 54,            Beta index:  0.31
MUJPUE_fullCoRE Edges: 81, Vertices: 89,            Beta index:  0.91
WEXQUL_fullCoRE Edges: 121, Vertices: 83,            Beta index:  1.46
JOXPIX_fullCoRE Edges: 0, Vertices: 21,            Beta index:  0.00
BIYTAG_fullCoRE Edges: 2, Vertices: 10,            Beta index:  0.20
FIBKEI_fullCoRE Edges: 50, Vertices: 68,            Beta index:  0.74
MIHHOA_fullCoRE Edges: 87, Vertices: 77,            Beta index:  1.13
GAJVIY_fullCoRE Edges: 77, Vertices: 74,            Beta index:  1.04
GISZUF_fullCoRE Edges: 0, Vertices: 27,            Beta index:  0.00
QIWCOQ_fullCoRE Edges: 52, Vertices: 67,            Beta index:  0.78
MAQRAA_fullCoRE Edges: 0, Vertices: 23,            Beta index:  0.00
ROMQER_fullCoRE Edges: 20, Vertices: 35,            Beta index:  0.57
OBAHIL_fullCoRE Edges: 69, Vertices: 63,            Beta index:  1.10
FUBDEM_fullCoRE Edges: 148, Vertices: 94,            Beta index:  1.57
NANMAS_fullCoRE Edges: 2, Vertices: 31,            Beta index:  0.06
CIDKUX_fullCoRE Edges: 41, Vertices: 27,            Beta index:  1.52
CAZNOI_fullCoRE Edges: 19, Vertices: 45,            Beta index:  0.42
ASIQIE_fullCoRE Edges: 196, Vertices: 89,            Beta index:  2.20
VOZVAJ01_fullCoRE Edges: 179, Vertices: 83,            Beta index:  2.16
LUJPUC_fullCoRE Edges: 8, Vertices: 25,            Beta index:  0.32
JUVWUU_fullCoRE Edges: 65, Vertices: 76,            Beta index:  0.86
POKVUI_fullCoRE Edges: 0, Vertices: 4,            Beta index:  0.00
RORVAX_fullCoRE Edges: 82, Vertices: 55,            Beta index:  1.49
COWREN_fullCoRE Edges: 0, Vertices: 42,            Beta index:  0.00
NUTQAV_fullCoRE Edges: 98, Vertices: 64,            Beta index:  1.53
ZUDQUM_fullCoRE Edges: 121, Vertices: 85,            Beta index:  1.42
POKGEC_fullCoRE Edges: 6, Vertices: 43,            Beta index:  0.14
KIFXOO_fullCoRE Edges: 0, Vertices: 21,            Beta index:  0.00
ROMQAN_fullCoRE Edges: 54, Vertices: 63,            Beta index:  0.86
XILTAP_fullCoRE Edges: 16, Vertices: 84,            Beta index:  0.19
NASRIL_fullCoRE Edges: 99, Vertices: 92,            Beta index:  1.08
WEHHOI_fullCoRE Edges: 246, Vertices: 95,            Beta index:  2.59
TOWLIC_fullCoRE Edges: 87, Vertices: 70,            Beta index:  1.24
TAWYUO_fullCoRE Edges: 4, Vertices: 46,            Beta index:  0.09
NOPJOT_fullCoRE Edges: 34, Vertices: 37,            Beta index:  0.92
CEXHOD_fullCoRE Edges: 148, Vertices: 78,            Beta index:  1.90
XIYYEL_fullCoRE Edges: 142, Vertices: 89,            Beta index:  1.60
BUGSIG_fullCoRE Edges: 0, Vertices: 9,            Beta index:  0.00
AYOXUJ_fullCoRE Edges: 0, Vertices: 2,            Beta index:  0.00
AQETUM_fullCoRE Edges: 96, Vertices: 74,            Beta index:  1.30
ZURLAB_fullCoRE Edges: 0, Vertices: 42,            Beta index:  0.00
CEZMUR_fullCoRE Edges: 10, Vertices: 52,            Beta index:  0.19
OTIQAL_fullCoRE Edges: 113, Vertices: 77,            Beta index:  1.47
GEDRUE_fullCoRE Edges: 0, Vertices: 20,            Beta index:  0.00
MEXJAC_fullCoRE Edges: 0, Vertices: 38,            Beta index:  0.00
GOGSIF_fullCoRE Edges: 0, Vertices: 30,            Beta index:  0.00
OPENON_fullCoRE Edges: 153, Vertices: 76,            Beta index:  2.01
VAHVOQ_fullCoRE Edges: 54, Vertices: 79,            Beta index:  0.68
JUKKIL_fullCoRE Edges: 25, Vertices: 24,            Beta index:  1.04
NEJSAY_fullCoRE Edges: 68, Vertices: 76,            Beta index:  0.89
LOMLUW_fullCoRE Edges: 101, Vertices: 70,            Beta index:  1.44
FULQOT_fullCoRE Edges: 0, Vertices: 10,            Beta index:  0.00
LAMGUB_fullCoRE Edges: 124, Vertices: 83,            Beta index:  1.49
YOFXIC_fullCoRE Edges: 25, Vertices: 63,            Beta index:  0.40
PATWOY_fullCoRE Edges: 22, Vertices: 49,            Beta index:  0.45
HOWQOA_fullCoRE Edges: 0, Vertices: 16,            Beta index:  0.00
DIBPIP_fullCoRE Edges: 56, Vertices: 56,            Beta index:  1.00
IWAXUZ_fullCoRE Edges: 70, Vertices: 78,            Beta index:  0.90
GIHPEU_fullCoRE Edges: 80, Vertices: 68,            Beta index:  1.18
FEXCES_fullCoRE Edges: 16, Vertices: 37,            Beta index:  0.43
TIPZOJ_fullCoRE Edges: 0, Vertices: 47,            Beta index:  0.00
QUSRIH_fullCoRE Edges: 0, Vertices: 31,            Beta index:  0.00
CUNQUZ_fullCoRE Edges: 14, Vertices: 38,            Beta index:  0.37
IXUHUE_fullCoRE Edges: 6, Vertices: 17,            Beta index:  0.35
DAMDUT_fullCoRE Edges: 134, Vertices: 91,            Beta index:  1.47
KULRIT_fullCoRE Edges: 183, Vertices: 95,            Beta index:  1.93
QUQGAL_fullCoRE Edges: 139, Vertices: 84,            Beta index:  1.65
YOCNIP_fullCoRE Edges: 70, Vertices: 40,            Beta index:  1.75
IWAZEL_fullCoRE Edges: 132, Vertices: 87,            Beta index:  1.52
ACIBIY_fullCoRE Edges: 31, Vertices: 43,            Beta index:  0.72
AWIBAK_fullCoRE Edges: 0, Vertices: 25,            Beta index:  0.00
NAVJAW01_fullCoRE Edges: 84, Vertices: 58,            Beta index:  1.45
KANDIO_fullCoRE Edges: 87, Vertices: 78,            Beta index:  1.12
UWUKII_fullCoRE Edges: 0, Vertices: 9,            Beta index:  0.00
SADLEQ_fullCoRE Edges: 0, Vertices: 19,            Beta index:  0.00
RAHMAP_fullCoRE Edges: 4, Vertices: 24,            Beta index:  0.17
XOMGIQ_fullCoRE Edges: 65, Vertices: 81,            Beta index:  0.80
KOKSIO_fullCoRE Edges: 19, Vertices: 77,            Beta index:  0.25
OQUXIJ_fullCoRE Edges: 87, Vertices: 65,            Beta index:  1.34
USAHAZ_fullCoRE Edges: 32, Vertices: 64,            Beta index:  0.50
UTACOJ_fullCoRE Edges: 66, Vertices: 65,            Beta index:  1.02
ATOGEV_fullCoRE Edges: 149, Vertices: 82,            Beta index:  1.82
VUMBOW_fullCoRE Edges: 86, Vertices: 76,            Beta index:  1.13
QOSXOM_fullCoRE Edges: 14, Vertices: 77,            Beta index:  0.18
CAKXOD_fullCoRE Edges: 0, Vertices: 9,            Beta index:  0.00
AWAGEL_fullCoRE Edges: 222, Vertices: 91,            Beta index:  2.44
WAMRIN01_fullCoRE Edges: 0, Vertices: 56,            Beta index:  0.00
CANRUG_fullCoRE Edges: 82, Vertices: 74,            Beta index:  1.11
VATYIZ_fullCoRE Edges: 0, Vertices: 2,            Beta index:  0.00
INIXOT_fullCoRE Edges: 76, Vertices: 56,            Beta index:  1.36
IVEHEW_fullCoRE Edges: 42, Vertices: 79,            Beta index:  0.53
